date	source	query_type	is_automata	total_requests	zero_results_requests	dashboard_type	dashboard_type_new
2016-03-13	api	comp_suggest	FALSE	7813910	2125465	Prefix Search	Prefix Search
2016-03-13	api	comp_suggest	TRUE	595768	306739	Prefix Search	Prefix Search
2016-03-13	api	degraded_full_text	FALSE	1	1	Full-Text Search	Other
2016-03-13	api	degraded_full_text	TRUE	21	21	Full-Text Search	Other
2016-03-13	api	full_text	FALSE	25707077	4265374	Full-Text Search	Full-Text Search
2016-03-13	api	full_text	TRUE	2646865	986650	Full-Text Search	Full-Text Search
2016-03-13	api	GeoData_spatial_search	FALSE	627385	204677	Prefix Search	Other
2016-03-13	api	GeoData_spatial_search	TRUE	583001	338626	Prefix Search	Other
2016-03-13	api	more_like	FALSE	9766349	7229061	Full-Text Search	Full-Text Search
2016-03-13	api	more_like	TRUE	1718	293	Full-Text Search	Full-Text Search
2016-03-13	api	namespace	FALSE	5196	4836	Prefix Search	Other
2016-03-13	api	namespace	TRUE	6333	6331	Prefix Search	Other
2016-03-13	api	near_match	FALSE	469063	467794	Prefix Search	Prefix Search
2016-03-13	api	near_match	TRUE	371	345	Prefix Search	Prefix Search
2016-03-13	api	prefix	FALSE	61461439	21384325	Prefix Search	Prefix Search
2016-03-13	api	prefix	TRUE	2830448	1387155	Prefix Search	Prefix Search
2016-03-13	api	regex	FALSE	138	74	Full-Text Search	Full-Text Search
2016-03-13	api	regex	TRUE	171	69	Full-Text Search	Full-Text Search
2016-03-13	cli	send_data_write	TRUE	292	292	Prefix Search	Other
2016-03-13	web	degraded_full_text	FALSE	132	132	Full-Text Search	Other
2016-03-13	web	full_text	FALSE	6282575	1367758	Full-Text Search	Full-Text Search
2016-03-13	web	full_text	TRUE	493535	340662	Full-Text Search	Full-Text Search
2016-03-13	web	get	TRUE	4	0	Prefix Search	Other
2016-03-13	web	namespace	FALSE	1152	1137	Prefix Search	Other
2016-03-13	web	namespace	TRUE	22	22	Prefix Search	Other
2016-03-13	web	near_match	FALSE	146589	14286	Prefix Search	Prefix Search
2016-03-13	web	near_match	TRUE	20424	18288	Prefix Search	Prefix Search
2016-03-13	web	other_idx_lookup	TRUE	43941	43941	Prefix Search	Other
2016-03-13	web	regex	FALSE	519	69	Full-Text Search	Full-Text Search
2016-03-13	web	regex	TRUE	51	0	Full-Text Search	Full-Text Search
2016-03-13	web	send_data_other_idx_write	TRUE	2570	2570	Prefix Search	Other
2016-03-13	web	send_data_write	TRUE	5220517	5220517	Prefix Search	Other
2016-03-13	web	send_deletes	TRUE	26123	26123	Prefix Search	Other
2016-03-13	web	version	FALSE	80	80	Prefix Search	Other
2016-03-13	web	version	TRUE	293	293	Prefix Search	Other
2016-03-14	api	comp_suggest	FALSE	8452272	2427337	Prefix Search	Prefix Search
2016-03-14	api	comp_suggest	TRUE	716323	371974	Prefix Search	Prefix Search
2016-03-14	api	degraded_full_text	FALSE	6	6	Full-Text Search	Other
2016-03-14	api	degraded_full_text	TRUE	15	15	Full-Text Search	Other
2016-03-14	api	full_text	FALSE	22472731	4185161	Full-Text Search	Full-Text Search
2016-03-14	api	full_text	TRUE	2764994	980501	Full-Text Search	Full-Text Search
2016-03-14	api	GeoData_spatial_search	FALSE	392530	127054	Prefix Search	Other
2016-03-14	api	GeoData_spatial_search	TRUE	485525	232932	Prefix Search	Other
2016-03-14	api	more_like	FALSE	7556111	5408897	Full-Text Search	Full-Text Search
2016-03-14	api	more_like	TRUE	6536	1316	Full-Text Search	Full-Text Search
2016-03-14	api	namespace	FALSE	5724	5701	Prefix Search	Other
2016-03-14	api	namespace	TRUE	8199	8194	Prefix Search	Other
2016-03-14	api	near_match	FALSE	486460	484973	Prefix Search	Prefix Search
2016-03-14	api	near_match	TRUE	439	430	Prefix Search	Prefix Search
2016-03-14	api	prefix	FALSE	64637395	24137282	Prefix Search	Prefix Search
2016-03-14	api	prefix	TRUE	3245625	1623155	Prefix Search	Prefix Search
2016-03-14	api	regex	FALSE	93	62	Full-Text Search	Full-Text Search
2016-03-14	api	regex	TRUE	13	2	Full-Text Search	Full-Text Search
2016-03-14	cli	send_data_write	TRUE	562	562	Prefix Search	Other
2016-03-14	cli	send_deletes	TRUE	4	4	Prefix Search	Other
2016-03-14	web	degraded_full_text	FALSE	169	169	Full-Text Search	Other
2016-03-14	web	degraded_full_text	TRUE	1	1	Full-Text Search	Other
2016-03-14	web	full_text	FALSE	7017972	1371089	Full-Text Search	Full-Text Search
2016-03-14	web	full_text	TRUE	321574	196416	Full-Text Search	Full-Text Search
2016-03-14	web	get	FALSE	3	0	Prefix Search	Other
2016-03-14	web	get	TRUE	5	0	Prefix Search	Other
2016-03-14	web	more_like	FALSE	1	0	Full-Text Search	Full-Text Search
2016-03-14	web	namespace	FALSE	936	923	Prefix Search	Other
2016-03-14	web	namespace	TRUE	4	4	Prefix Search	Other
2016-03-14	web	near_match	FALSE	167761	15164	Prefix Search	Prefix Search
2016-03-14	web	near_match	TRUE	22212	20113	Prefix Search	Prefix Search
2016-03-14	web	other_idx_lookup	TRUE	48262	48262	Prefix Search	Other
2016-03-14	web	regex	FALSE	449	59	Full-Text Search	Full-Text Search
2016-03-14	web	regex	TRUE	39	1	Full-Text Search	Full-Text Search
2016-03-14	web	send_data_other_idx_write	TRUE	2776	2776	Prefix Search	Other
2016-03-14	web	send_data_write	TRUE	5240143	5240143	Prefix Search	Other
2016-03-14	web	send_deletes	TRUE	22166	22166	Prefix Search	Other
2016-03-14	web	version	FALSE	91	91	Prefix Search	Other
2016-03-14	web	version	TRUE	223	223	Prefix Search	Other
2016-03-15	api	comp_suggest	FALSE	8582748	2480502	Prefix Search	Prefix Search
2016-03-15	api	comp_suggest	TRUE	704285	364304	Prefix Search	Prefix Search
2016-03-15	api	degraded_full_text	FALSE	3	3	Full-Text Search	Other
2016-03-15	api	degraded_full_text	TRUE	26	26	Full-Text Search	Other
2016-03-15	api	full_text	FALSE	21884078	4115051	Full-Text Search	Full-Text Search
2016-03-15	api	full_text	TRUE	3227329	1194964	Full-Text Search	Full-Text Search
2016-03-15	api	GeoData_spatial_search	FALSE	382554	125605	Prefix Search	Other
2016-03-15	api	GeoData_spatial_search	TRUE	664244	417414	Prefix Search	Other
2016-03-15	api	more_like	FALSE	7134540	5014578	Full-Text Search	Full-Text Search
2016-03-15	api	more_like	TRUE	2337	228	Full-Text Search	Full-Text Search
2016-03-15	api	namespace	FALSE	6792	6737	Prefix Search	Other
2016-03-15	api	namespace	TRUE	8302	8296	Prefix Search	Other
2016-03-15	api	near_match	FALSE	506515	505018	Prefix Search	Prefix Search
2016-03-15	api	near_match	TRUE	479	457	Prefix Search	Prefix Search
2016-03-15	api	prefix	FALSE	63329232	23907971	Prefix Search	Prefix Search
2016-03-15	api	prefix	TRUE	3222213	1587973	Prefix Search	Prefix Search
2016-03-15	api	regex	FALSE	73	52	Full-Text Search	Full-Text Search
2016-03-15	api	regex	TRUE	24	10	Full-Text Search	Full-Text Search
2016-03-15	cli	send_data_write	TRUE	625	625	Prefix Search	Other
2016-03-15	cli	send_deletes	TRUE	6	6	Prefix Search	Other
2016-03-15	web	degraded_full_text	FALSE	134	134	Full-Text Search	Other
2016-03-15	web	full_text	FALSE	7135169	1449284	Full-Text Search	Full-Text Search
2016-03-15	web	full_text	TRUE	328091	175956	Full-Text Search	Full-Text Search
2016-03-15	web	get	FALSE	2	0	Prefix Search	Other
2016-03-15	web	get	TRUE	5	0	Prefix Search	Other
2016-03-15	web	more_like	FALSE	25	13	Full-Text Search	Full-Text Search
2016-03-15	web	namespace	FALSE	1038	1029	Prefix Search	Other
2016-03-15	web	namespace	TRUE	9	9	Prefix Search	Other
2016-03-15	web	near_match	FALSE	163342	14560	Prefix Search	Prefix Search
2016-03-15	web	near_match	TRUE	16493	14055	Prefix Search	Prefix Search
2016-03-15	web	other_idx_lookup	TRUE	47585	47585	Prefix Search	Other
2016-03-15	web	regex	FALSE	459	77	Full-Text Search	Full-Text Search
2016-03-15	web	regex	TRUE	152	0	Full-Text Search	Full-Text Search
2016-03-15	web	send_data_other_idx_write	TRUE	2490	2490	Prefix Search	Other
